host_value	taxon_name	taxon_rank	class_name	class_tax_id	genus_id	genus_name	accession	host
homo sapiens	Homo sapiens	species	Mammalia	40674	33882	Microbacterium	GCA_020590305.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	561	Escherichia	GCF_000008865.2	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	561	Escherichia	GCF_003018455.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	561	Escherichia	GCF_048568945.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	561	Escherichia	GCF_048571565.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	561	Escherichia	GCF_048571645.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	561	Escherichia	GCF_024300685.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	561	Escherichia	GCF_048568955.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	561	Escherichia	GCF_048568965.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	561	Escherichia	GCF_027925825.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	561	Escherichia	GCF_040571355.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	561	Escherichia	GCF_048571525.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	561	Escherichia	GCF_027925745.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	590	Salmonella	GCF_047461455.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	590	Salmonella	GCF_046234085.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	590	Salmonella	GCF_047740855.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	590	Salmonella	GCF_001474505.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	590	Salmonella	GCF_039650715.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	561	Escherichia	GCF_027925765.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	561	Escherichia	GCF_027925785.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	561	Escherichia	GCF_048571815.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	561	Escherichia	GCF_048571515.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	561	Escherichia	GCF_048571635.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	561	Escherichia	GCF_027925565.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	561	Escherichia	GCF_027925845.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	561	Escherichia	GCF_048571425.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	561	Escherichia	GCF_048571795.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	561	Escherichia	GCF_001721125.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	561	Escherichia	GCF_027925505.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	561	Escherichia	GCF_048571835.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	561	Escherichia	GCF_048571415.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	561	Escherichia	GCF_048569005.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	561	Escherichia	GCF_048571655.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	561	Escherichia	GCF_048571805.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	561	Escherichia	GCF_048568925.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	561	Escherichia	GCF_004358405.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	561	Escherichia	GCF_003018575.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	561	Escherichia	GCF_048571775.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	561	Escherichia	GCF_048571575.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	561	Escherichia	GCF_048571455.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	561	Escherichia	GCF_049266435.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	561	Escherichia	GCF_048571615.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	561	Escherichia	GCF_048571625.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	561	Escherichia	GCF_003018555.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	561	Escherichia	GCF_003018895.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	561	Escherichia	GCF_049265285.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	561	Escherichia	GCF_048571475.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	561	Escherichia	GCF_003018055.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	561	Escherichia	GCF_048571595.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	561	Escherichia	GCF_048571685.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	561	Escherichia	GCF_048571535.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	561	Escherichia	GCF_048571785.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	561	Escherichia	GCF_003017915.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	561	Escherichia	GCF_048571365.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	561	Escherichia	GCF_004358365.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	561	Escherichia	GCF_003018315.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	561	Escherichia	GCF_049265845.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	561	Escherichia	GCF_006874785.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	561	Escherichia	GCF_049264865.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	561	Escherichia	GCF_009664455.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	561	Escherichia	GCF_048571345.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	561	Escherichia	GCF_027925625.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	561	Escherichia	GCF_048571375.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	561	Escherichia	GCF_025996315.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	561	Escherichia	GCF_048571665.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	561	Escherichia	GCF_048571335.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	561	Escherichia	GCF_025995735.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	561	Escherichia	GCF_003019175.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	561	Escherichia	GCF_008925965.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	561	Escherichia	GCF_003017375.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	561	Escherichia	GCF_024300705.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	561	Escherichia	GCF_048571355.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	561	Escherichia	GCF_002946715.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	561	Escherichia	GCF_025809255.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	561	Escherichia	GCF_003019215.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	561	Escherichia	GCF_023921205.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	561	Escherichia	GCF_025995615.1	Homo sapiens
